Tarih,KuponID,Tur,ToplamOran,BirlesikP,Edge,Mac1Ev,Mac1Dep,Mac1Tahmin,Mac1Oran,Mac1Sonuc,Mac2Ev,Mac2Dep,Mac2Tahmin,Mac2Oran,Mac2Sonuc,Mac3Ev,Mac3Dep,Mac3Tahmin,Mac3Oran,Mac3Sonuc,KuponSonuc,KazanılanKat,KuponTelegramBildirildi
09.03.2026 20:43,09032026_3lu_1,3lu,36.73,0.0991,2.6403,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.34,,bekliyor,,1
09.03.2026 20:43,09032026_3lu_2,3lu,30.29,0.1115,2.3782,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Espanyol,Oviedo,Ev Sahibi Kazanır,1.93,,bekliyor,,1
09.03.2026 21:15,09032026_2li_1,2li,15.69,0.1854,1.9095,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 21:15,09032026_2li_2,2li,16.43,0.1624,1.6675,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 21:15,09032026_2li_3,2li,19.35,0.1353,1.6182,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,,,,,,,bekliyor,,1
09.03.2026 21:15,09032026_3lu_1,3lu,36.73,0.1023,2.7588,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.34,,bekliyor,,1
09.03.2026 21:15,09032026_3lu_2,3lu,38.43,0.0897,2.4462,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,Newcastle United,Barcelona,Deplasman Kazanır,2.34,dep,kaybetti,0,1
09.03.2026 22:24,09032026_2li_1,2li,15.88,0.2932,3.6547,Rotherham United,Bolton Wanderers,Ev Sahibi Kazanır,4.35,,VfB Stuttgart,Porto,Deplasman Kazanır,3.65,,,,,,,bekliyor,,1
09.03.2026 22:24,09032026_2li_2,2li,20.66,0.2138,3.4183,Rotherham United,Bolton Wanderers,Ev Sahibi Kazanır,4.35,,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.75,,,,,,,bekliyor,,1
09.03.2026 22:24,09032026_2li_3,2li,15.88,0.2567,3.0750,Rotherham United,Bolton Wanderers,Ev Sahibi Kazanır,4.35,,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,,,,,,,bekliyor,,1
09.03.2026 22:24,09032026_3lu_1,3lu,49.22,0.1349,5.6376,Rotherham United,Bolton Wanderers,Ev Sahibi Kazanır,4.35,,VfB Stuttgart,Porto,Deplasman Kazanır,3.65,,Vitória SC,Famalicão,Deplasman Kazanır,3.10,,bekliyor,,1
09.03.2026 22:24,09032026_3lu_2,3lu,42.55,0.1492,5.3470,Rotherham United,Bolton Wanderers,Ev Sahibi Kazanır,4.35,,VfB Stuttgart,Porto,Deplasman Kazanır,3.65,,Northampton Town,Burton Albion,Ev Sahibi Kazanır,2.68,,bekliyor,,1
09.03.2026 22:51,09032026_2li_1,2li,12.33,0.1537,0.8943,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Northampton Town,Burton Albion,Ev Sahibi Kazanır,2.68,,,,,,,bekliyor,,1
09.03.2026 22:51,09032026_2li_2,2li,12.42,0.1504,0.8679,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Oviedo,Valencia,Deplasman Kazanır,2.70,ev,,,,,,kaybetti,0,1
09.03.2026 22:51,09032026_2li_3,2li,13.11,0.1405,0.8418,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Nacional,Estoril,Deplasman Kazanır,2.85,dep,,,,,,kaybetti,0,1
09.03.2026 22:51,09032026_3lu_1,3lu,33.29,0.0765,1.5471,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Northampton Town,Burton Albion,Ev Sahibi Kazanır,2.68,,Oviedo,Valencia,Deplasman Kazanır,2.70,,bekliyor,,1
09.03.2026 22:51,09032026_3lu_2,3lu,35.13,0.0715,1.5115,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Northampton Town,Burton Albion,Ev Sahibi Kazanır,2.68,,Nacional,Estoril,Deplasman Kazanır,2.85,,bekliyor,,1
09.03.2026 22:57,09032026_2li_1,2li,12.33,0.1537,0.8943,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Northampton Town,Burton Albion,Ev Sahibi Kazanır,2.68,,,,,,,bekliyor,,1
09.03.2026 22:57,09032026_2li_2,2li,12.42,0.1504,0.8679,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Oviedo,Valencia,Deplasman Kazanır,2.70,ev,,,,,,kaybetti,0,1
09.03.2026 22:57,09032026_2li_3,2li,13.11,0.1405,0.8418,Manchester United,Aston Villa,Deplasman Kazanır,4.60,ev,Nacional,Estoril,Deplasman Kazanır,2.85,dep,,,,,,kaybetti,0,1
