Tarih,Ev,Dep,Lig,Tahmin,Oran,Olasilik,Edge,EfektifEdge,FairP,PiyasaSapma,PiyasaUyum,OverRound,SharpPiyasa,EvELO,DepELO,Konsensus,MC-Analitik,LamEv,LamDep,1.5Uz,2.5Uz,3.5Uz,BTS,EvForm,DepForm,EvMomentum,DepMomentum,EvSeri,DepSeri,H2HGuven,H2HMac,AgirlikELO,AgirlikPoisson,AgirlikForm,MacTarihi,SharpSinyal,HareketGucu,EvHareket,DepHareket,IlkEvOran,IlkDepOran,KitapSayisi,PinnacleVar,GercekSonuc,TelegramBildirildi,RL_Ogrenildi
09.03.2026 22:51,Sassuolo,Bologna,Serie A,Ev Sahibi Kazanır,2.8,0.4615,0.2922,0.2702,0.3558,0.1057,0.817,1.0653,0,1512.0,1472.0,0.921,0.921,1.391,1.568,0.796,0.562,0.337,0.589,0.62,0.667,0.167,0.167,MGMGG,BGMGG,0.0,0,0.4,0.33,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.8,2.8,40.0,1.0,dep,1,1
09.03.2026 22:51,Hellas Verona,Genoa,Serie A,Deplasman Kazanır,2.52,0.5057,0.2744,0.2464,0.3937,0.112,0.836,1.0619,0,1325.4,1465.8,0.972,0.972,1.062,1.613,0.741,0.489,0.276,0.517,0.165,0.316,0.167,-0.167,MMMBM,BBMBM,0.0,0,0.4,0.33,0.06,2026-03-15T11:30:00Z,YOK,0.000,0.0,0.0,3.45,2.52,40.0,1.0,dep,1,1
09.03.2026 22:51,Mallorca,Espanyol,La Liga,Deplasman Kazanır,3.35,0.3826,0.2817,0.2437,0.2943,0.0883,0.765,1.0658,0,1416.8,1443.3,0.966,0.966,1.576,1.584,0.809,0.601,0.385,0.611,0.472,0.392,-0.333,-0.333,MGGMM,BMMMB,0.0,0,0.39,0.33,0.06,2026-03-15T13:00:00Z,YOK,0.000,0.0,0.0,2.6,3.35,37.0,1.0,ev,1,1
09.03.2026 22:51,Pisa,Cagliari,Serie A,Ev Sahibi Kazanır,2.72,0.4532,0.2327,0.2184,0.3698,0.0834,0.75,1.0655,0,1443.0,1417.0,0.936,0.936,1.351,1.437,0.752,0.516,0.302,0.54,0.423,0.397,0.167,0.0,MBBMG,BMGMB,0.0,0,0.4,0.33,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.72,3.25,41.0,1.0,ev,1,1
09.03.2026 22:57,Lazio,AC Milan,Serie A,Deplasman Kazanır,2.12,0.5748,0.2186,0.1982,0.4721,0.1027,0.808,1.0619,0,1463.5,1693.1,0.943,0.943,0.695,1.468,0.631,0.371,0.178,0.379,0.389,0.891,0.0,0.333,MBMGM,GBGGG,0.0,0,0.42,0.31,0.05,2026-03-15T19:45:00Z,YOK,0.000,0.0,0.0,4.1,2.12,40.0,1.0,ev,1,1
09.03.2026 23:39,Crystal Palace,Leeds United,Premier League,Deplasman Kazanır,3.3,0.4232,0.3966,0.3881,0.3081,0.1151,0.845,1.0596,1,1595.7,1624.6,0.927,0.927,1.003,1.471,0.701,0.447,0.235,0.476,0.323,0.404,0.0,0.167,BBMMG,BMBBB,0.0,0,0.39,0.33,0.06,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.46,3.3,41.0,1.0,ber,1,1
09.03.2026 23:39,Como,AS Roma,Serie A,Deplasman Kazanır,3.65,0.3571,0.3034,0.2836,0.2787,0.0784,0.735,1.0645,0,1682.9,1667.1,0.946,0.946,1.335,1.283,0.73,0.486,0.273,0.524,0.597,0.322,0.0,-0.5,MGBMG,GGMBM,0.5,3,0.39,0.32,0.05,2026-03-15T17:00:00Z,YOK,0.000,0.0,0.0,2.24,3.65,40.0,1.0,ev,1,1
09.03.2026 23:39,Chelsea,Newcastle United,Premier League,Deplasman Kazanır,4.21,0.3064,0.2899,0.2761,0.2441,0.0623,0.687,1.0594,1,1759.3,1683.7,0.931,0.931,1.723,1.603,0.838,0.644,0.423,0.637,0.686,0.501,-0.167,0.333,GGGBB,BMGGM,0.83,5,0.39,0.31,0.05,2026-03-14T17:30:00Z,YOK,0.000,0.0,0.0,1.85,4.21,41.0,1.0,dep,1,1
09.03.2026 23:39,Go Ahead Eagles,NAC Breda,Eredivisie,Ev Sahibi Kazanır,2.27,0.5658,0.2844,0.2708,0.4239,0.1419,0.926,1.087,0,1454.4,1367.4,0.969,0.969,1.818,1.158,0.787,0.561,0.345,0.551,0.443,0.346,-0.167,0.333,BBMGM,MBBGM,0.5,3,0.4,0.31,0.05,2026-03-15T15:45:00Z,YOK,0.000,0.0,0.0,2.27,3.2,36.0,1.0,ev,1,1
09.03.2026 23:39,FC Volendam,Fortuna Sittard,Eredivisie,Deplasman Kazanır,2.92,0.4394,0.283,0.2577,0.3321,0.1073,0.822,1.0851,0,1365.8,1438.3,0.963,0.963,1.5,1.798,0.834,0.632,0.417,0.63,0.688,0.425,0.5,-0.167,MGBGG,BGMMG,0.5,3,0.37,0.33,0.05,2026-03-14T15:30:00Z,YOK,0.000,0.0,-0.3,2.38,2.91,36.0,1.0,dep,1,1
09.03.2026 23:47,Cremonese,Fiorentina,Serie A,Ev Sahibi Kazanır,4.0,0.3236,0.2944,0.2703,0.2467,0.0769,0.731,1.0678,0,1411.9,1483.6,0.944,0.944,0.998,1.519,0.713,0.462,0.248,0.483,0.282,0.356,-0.167,-0.167,BBMBM,BGMGM,0.0,0,0.38,0.34,0.06,2026-03-16T19:45:00Z,YOK,0.000,0.0,0.0,4.0,2.03,37.0,1.0,dep,1,1
10.03.2026 19:30,Chelsea FC,Paris Saint-Germain FC,Champions League,Deplasman Kazanır,2.98,0.4399,0.3109,0.2535,0.3521,0.0878,0.763,1.05,1,1759.3,1801.8,0.929,0.929,1.797,2.404,0.917,0.783,0.597,0.741,0.686,0.727,-0.167,0.0,GGGBB,GGMGG,0.0,0,0.39,0.34,0.06,2026-03-17T20:00:00Z,YOK,0.000,0.0,0.0,2.62,2.98,0.0,0.0,dep,1,1
10.03.2026 19:30,Stade Rennais FC 1901,Lille OSC,Ligue 1,Deplasman Kazanır,3.78,0.3459,0.3075,0.2466,0.2778,0.0681,0.704,1.05,1,1624.5,1579.4,0.927,0.927,1.472,1.446,0.783,0.551,0.334,0.578,0.722,0.493,-0.167,-0.167,GBMGG,GMMBG,0.83,5,0.39,0.31,0.05,2026-03-15T19:45:00Z,YOK,0.000,0.0,0.0,2.01,3.78,0.0,0.0,dep,1,1
10.03.2026 19:30,US Sassuolo Calcio,Bologna FC 1909,Serie A,Deplasman Kazanır,3.23,0.4029,0.3014,0.2436,0.3256,0.0773,0.732,1.05,1,1503.7,1514.2,0.925,0.925,1.339,1.849,0.818,0.605,0.391,0.611,0.62,0.667,0.167,0.167,MGMGG,BGMGG,0.5,3,0.38,0.32,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.36,3.23,0.0,0.0,dep,1,1
10.03.2026 19:30,West Bromwich Albion FC,Southampton FC,Championship,Ev Sahibi Kazanır,3.49,0.3693,0.2889,0.2399,0.3013,0.068,0.704,1.05,1,1333.7,1481.6,0.943,0.943,1.492,1.583,0.807,0.592,0.368,0.6,0.335,0.639,0.0,0.667,MMBMB,MBGGG,0.83,5,0.38,0.31,0.05,2026-03-11T19:45:00Z,YOK,0.000,0.0,0.0,3.49,2.16,0.0,0.0,ber,1,1
10.03.2026 19:30,SC Heerenveen,Telstar 1963,Eredivisie,Deplasman Kazanır,4.24,0.3025,0.2826,0.2361,0.2479,0.0546,0.664,1.05,1,1540.7,1460.7,0.928,0.928,1.833,1.683,0.862,0.677,0.47,0.668,0.621,0.498,0.667,0.0,BMBGG,BMBMG,0.0,0,0.41,0.32,0.05,2026-03-14T19:00:00Z,YOK,0.000,0.0,0.0,1.84,4.24,0.0,0.0,ev,1,1
10.03.2026 19:30,Angers SCO,OGC Nice,Ligue 1,Deplasman Kazanır,3.31,0.3893,0.2886,0.2322,0.3172,0.0721,0.716,1.05,1,1456.2,1456.8,0.935,0.935,1.223,1.369,0.724,0.482,0.266,0.521,0.576,0.149,0.333,0.333,GMGGM,MMGMM,0.5,3,0.39,0.32,0.05,2026-03-14T18:00:00Z,YOK,0.000,0.0,0.0,2.29,3.31,0.0,0.0,dep,1,1
10.03.2026 19:30,Millwall FC,Derby County FC,Championship,Deplasman Kazanır,4.32,0.295,0.2744,0.2287,0.2432,0.0518,0.655,1.05,1,1559.0,1473.5,0.919,0.919,1.437,1.213,0.734,0.494,0.282,0.523,0.645,0.488,-0.5,-0.333,GGBMG,GGGMM,0.5,3,0.4,0.31,0.05,2026-03-10T19:45:00Z,YOK,0.000,0.0,0.0,1.82,4.32,0.0,0.0,ev,1,1
10.03.2026 19:30,US Cremonese,ACF Fiorentina,Serie A,Deplasman Kazanır,2.77,0.4539,0.2573,0.215,0.3791,0.0748,0.724,1.05,1,1411.9,1483.6,0.945,0.945,0.998,1.519,0.707,0.458,0.248,0.49,0.282,0.356,-0.167,-0.167,BBMBM,BGMGM,0.0,0,0.38,0.34,0.06,2026-03-16T19:45:00Z,YOK,0.000,0.0,0.0,2.88,2.77,0.0,0.0,dep,1,1
10.03.2026 19:30,Chelsea FC,Newcastle United FC,Premier League,Deplasman Kazanır,4.17,0.3,0.251,0.2121,0.2516,0.0484,0.645,1.05,1,1759.3,1683.7,0.936,0.936,1.727,1.537,0.83,0.628,0.411,0.636,0.686,0.501,-0.167,0.333,GGGBB,BMGGM,0.83,5,0.39,0.31,0.05,2026-03-14T17:30:00Z,YOK,0.000,0.0,0.0,1.86,4.17,0.0,0.0,dep,1,1
10.03.2026 19:30,Manchester City FC,Real Madrid CF,Champions League,Deplasman Kazanır,3.3,0.3756,0.2395,0.204,0.3179,0.0577,0.673,1.05,1,1798.7,1800.2,0.961,0.961,1.978,1.949,0.894,0.746,0.551,0.729,0.812,0.717,0.0,0.0,GGGGB,MGGMG,0.83,5,0.38,0.32,0.05,2026-03-17T20:00:00Z,YOK,0.000,0.0,0.0,2.29,3.3,0.0,0.0,dep,1,1
10.03.2026 19:30,Hamburger SV,1. FC Köln,Bundesliga,Deplasman Kazanır,4.47,0.2787,0.2458,0.2034,0.235,0.0437,0.631,1.05,1,1481.3,1386.0,0.925,0.925,1.488,1.16,0.734,0.491,0.284,0.521,0.456,0.109,-0.167,-0.333,BBGMM,MBMMM,0.0,0,0.41,0.32,0.05,2026-03-14T17:30:00Z,YOK,0.000,0.0,0.0,1.78,4.47,0.0,0.0,ber,1,1
10.03.2026 19:30,Crystal Palace FC,Leeds United FC,Premier League,Deplasman Kazanır,3.08,0.4082,0.2573,0.1988,0.341,0.0672,0.702,1.05,1,1595.7,1624.6,0.94,0.94,1.062,1.415,0.698,0.447,0.245,0.489,0.323,0.404,0.0,0.167,BBMMG,BMBBB,0.0,0,0.39,0.33,0.06,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.5,3.08,0.0,0.0,ber,1,1
10.03.2026 19:30,PEC Zwolle,FC Groningen,Eredivisie,Deplasman Kazanır,3.27,0.3748,0.2256,0.1948,0.3207,0.0541,0.662,1.05,1,1468.3,1473.0,0.96,0.96,1.512,1.42,0.779,0.548,0.329,0.572,0.689,0.272,-0.5,-0.833,GGGMB,BGMMM,0.5,3,0.38,0.32,0.05,2026-03-13T19:00:00Z,YOK,0.000,0.0,0.0,2.31,3.27,0.0,0.0,ber,1,1
10.03.2026 19:30,Manchester United FC,Aston Villa FC,Premier League,Deplasman Kazanır,3.43,0.3615,0.2399,0.187,0.3058,0.0557,0.667,1.05,1,1689.1,1676.4,0.951,0.951,1.465,1.341,0.757,0.524,0.312,0.551,0.874,0.535,0.167,0.0,BGGGG,MBGBM,0.83,5,0.38,0.31,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.2,3.43,0.0,0.0,ev,1,1
10.03.2026 19:30,SS Lazio,AC Milan,Serie A,Ev Sahibi Kazanır,4.5,0.271,0.2195,0.1868,0.2335,0.0375,0.613,1.05,1,1513.6,1740.7,0.938,0.938,1.06,1.698,0.751,0.513,0.288,0.518,0.389,0.891,0.0,0.333,MBMGM,GBGGG,0.83,5,0.4,0.31,0.05,2026-03-15T19:45:00Z,YOK,0.000,0.0,0.0,4.5,1.77,0.0,0.0,ev,1,1
10.03.2026 19:58,Burnley FC,AFC Bournemouth,Premier League,Ev Sahibi Kazanır,3.59,0.3657,0.3129,0.2615,0.2924,0.0733,0.72,1.05,1,1471.9,1630.1,0.948,0.948,1.29,1.444,0.751,0.505,0.291,0.542,0.183,0.583,-0.167,0.5,MBBMM,BBGGB,0.5,3,0.39,0.32,0.05,2026-03-14T15:00:00Z,YOK,0.000,0.0,0.0,3.59,2.1,0.0,0.0,ber,1,1
10.03.2026 19:58,FC Internazionale Milano,Atalanta BC,Serie A,Deplasman Kazanır,4.93,0.2659,0.3109,0.2602,0.2129,0.053,0.659,1.05,1,1783.5,1661.3,0.94,0.94,1.861,1.235,0.802,0.59,0.372,0.587,0.678,0.402,0.0,0.0,MGGMG,MBGMM,0.83,5,0.4,0.3,0.05,2026-03-14T14:00:00Z,YOK,0.000,0.0,0.0,1.68,4.93,0.0,0.0,ber,1,1
10.03.2026 19:58,Norwich City FC,Preston North End FC,Championship,Deplasman Kazanır,4.41,0.2981,0.3146,0.26,0.2382,0.0599,0.68,1.05,1,1478.8,1387.3,0.938,0.938,1.546,1.115,0.743,0.498,0.278,0.516,0.626,0.39,0.333,0.0,MGGMG,GMBMB,0.83,5,0.4,0.31,0.05,2026-03-14T15:00:00Z,YOK,0.000,0.0,0.0,1.79,4.41,0.0,0.0,ev,1,1
